mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__solver,param_model__penalty,param_model__max_iter,param_model__l1_ratio,param_model__class_weight,param_model__C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
23.533094882965088,8.92304082952965,0.09293150901794434,0.019634296329695104,saga,l1,500,1.0,,0.3,"{""model__C"": 0.3, ""model__class_weight"": null, ""model__l1_ratio"": 1.0, ""model__max_iter"": 500, ""model__penalty"": ""l1"", ""model__solver"": ""saga""}",0.8352896024437774,0.8644853493458803,0.84628497710948,0.8457217847863173,0.8261304573278432,0.8435824342026595,0.012823064968937335,9,0.8489096364068369,0.843323479865215,0.8464078519820132,0.8485664622359553,0.8517342002982843,0.847788326157661,0.0028026172242990523
2.4488622665405275,0.24437569774013865,0.19480881690979004,0.09169636055584536,saga,elasticnet,2000,0.25,,0.003,"{""model__C"": 0.003, ""model__class_weight"": null, ""model__l1_ratio"": 0.25, ""model__max_iter"": 2000, ""model__penalty"": ""elasticnet"", ""model__solver"": ""saga""}",0.8070351899393492,0.840572718181372,0.8176792533942403,0.8095021092913666,0.8032992512070327,0.8156177044026721,0.013340217720498178,34,0.8180709488875715,0.8098547112699711,0.8162798128805132,0.8179109627235936,0.8195804840370459,0.8163393839597392,0.0034066827039898706
1.6901000022888184,0.23869291846331972,0.1655477523803711,0.03359246496218571,lbfgs,l2,1000,0.0,,1.0,"{""model__C"": 1.0, ""model__class_weight"": null, ""model__l1_ratio"": 0.0, ""model__max_iter"": 1000, ""model__penalty"": ""l2"", ""model__solver"": ""lbfgs""}",0.8391338202482572,0.8647384750093577,0.8494608240756854,0.8460470740567145,0.8248389948037094,0.8448438376387447,0.013048823496382728,7,0.8517030904612028,0.8471573826213511,0.8498724654992249,0.8515519496167399,0.8521200815043152,0.8504809939405668,0.0018299602767739716
2.314033365249634,0.5759623833294754,0.22636656761169432,0.07822708240637309,lbfgs,l2,1000,0.0,balanced,3.0,"{""model__C"": 3.0, ""model__class_weight"": ""balanced"", ""model__l1_ratio"": 0.0, ""model__max_iter"": 1000, ""model__penalty"": ""l2"", ""model__solver"": ""lbfgs""}",0.8312424074075018,0.8621767578116436,0.8443038919254531,0.842533879782388,0.8184531415415394,0.8397420156937052,0.014542230760289255,16,0.8457517256203286,0.8405559113424111,0.8440897519374729,0.8453153483355418,0.8483555400176587,0.8448136554506827,0.0025427952677177504
6.583742570877075,0.29059992495563947,0.09433069229125976,0.019061548116484077,saga,elasticnet,500,0.1,,0.03,"{""model__C"": 0.03, ""model__class_weight"": null, ""model__l1_ratio"": 0.1, ""model__max_iter"": 500, ""model__penalty"": ""elasticnet"", ""model__solver"": ""saga""}",0.8302401746171014,0.8607829397281259,0.8433923858772544,0.8402140817616262,0.8221491661219704,0.8393557496212157,0.01307911209200863,20,0.8439440042263449,0.8370600969153352,0.8410995066676734,0.842351922308948,0.8453196524670745,0.8419550365170754,0.0028328966235709138
2.1337257862091064,0.3326321087478691,0.11672592163085938,0.02757331521104906,saga,elasticnet,1000,0.1,,0.001,"{""model__C"": 0.001, ""model__class_weight"": null, ""model__l1_ratio"": 0.1, ""model__max_iter"": 1000, ""model__penalty"": ""elasticnet"", ""model__solver"": ""saga""}",0.8023180176287605,0.8352944068691571,0.8130342697173983,0.797783682224553,0.8002733554554285,0.8097407463790594,0.013795192181479085,38,0.8121165355383663,0.8039490334780323,0.8104371700278952,0.8123248461244599,0.8136792692666946,0.8105013708870896,0.0034342423960922216
19.112968158721923,1.3689075180011234,0.10680789947509765,0.024195046279504258,saga,elasticnet,2000,0.25,balanced,1.0,"{""model__C"": 1.0, ""model__class_weight"": ""balanced"", ""model__l1_ratio"": 0.25, ""model__max_iter"": 2000, ""model__penalty"": ""elasticnet"", ""model__solver"": ""saga""}",0.8323482644106862,0.8631845218217753,0.8451260107012619,0.8446130651570791,0.8194444105624624,0.840943254530653,0.014571966765421027,15,0.8470225104780229,0.8424215809842666,0.8451882390766021,0.8469182816408944,0.8503340152557424,0.8463769254871056,0.0025855804540353103
35.89354710578918,2.3296198843692792,0.1059535026550293,0.025049980349215413,saga,elasticnet,2000,0.1,balanced,30.0,"{""model__C"": 30.0, ""model__class_weight"": ""balanced"", ""model__l1_ratio"": 0.1, ""model__max_iter"": 2000, ""model__penalty"": ""elasticnet"", ""model__solver"": ""saga""}",0.8328380712461608,0.8619380932023312,0.845608662143759,0.845461554022113,0.8195727733921004,0.8410838308012929,0.014179259226559437,10,0.8480324742238524,0.8437583932956387,0.8461364214172142,0.8476217213057146,0.8515102817267206,0.8474118583938282,0.0025377480950977676
37.65283069610596,1.7944440793652712,0.09372434616088868,0.022541243944399308,saga,l1,1000,1.0,,30.0,"{""model__C"": 30.0, ""model__class_weight"": null, ""model__l1_ratio"": 1.0, ""model__max_iter"": 1000, ""model__penalty"": ""l1"", ""model__solver"": ""saga""}",0.841181369773971,0.8640594493999876,0.8521967701781825,0.8490489958038686,0.8265798527285417,0.8466132875769101,0.01242836077465004,4,0.854041451845314,0.8505968087151647,0.8522968103340494,0.8543366115952259,0.8574203053681941,0.8537383975715895,0.0022783283889662065
0.6172575950622559,0.07953155592073125,0.0806185245513916,0.005183364664353326,liblinear,l2,1000,0.0,,3.0,"{""model__C"": 3.0, ""model__class_weight"": null, ""model__l1_ratio"": 0.0, ""model__max_iter"": 1000, ""model__penalty"": ""l2"", ""model__solver"": ""liblinear""}",0.8413395764402466,0.8645569953734651,0.8522656563985576,0.8487156258520453,0.826845917932249,0.8467447543993126,0.012464511728919443,1,0.8538998364377237,0.8503543959262709,0.8521220407497772,0.8541564806707331,0.8571212712810679,0.8535308050131146,0.002258020977707483
